"inst","w","var","inc","rd","evpir","vssr","time"
364,4,2,20,1.15336658354115,6.05546995377504,NA,136.7021
47,4,5,10,0,5.81688366232675,3.65392692146157,41.4399
49,4,5,10,0,7.49890549752955,0.262680592907624,51.5068
50,4,5,10,0,9.99040920716113,0,48.3371
52,4,5,10,0,4.44444444444444,0.868896578239139,49.9101
56,4,5,10,1.43795620437956,7.74987407354105,0.568468014679427,54.2806
57,4,5,10,0,5.90246803449301,2.31935771632471,67.2095
59,4,5,10,0,9.34497816593886,1.59892509237487,62.932
127,4,5,10,0,16.7292950548625,2.09679843679543,31.8303
144,4,5,10,0,14.6044781901294,NA,61.8012
164,4,5,10,0,6.93831030061262,6.4539108135062,63.6896
191,4,5,10,0,12.3285820441802,14.0512058366547,41.6398
197,4,5,10,0,8.60373319060681,12.6379875560313,42.184
202,4,5,10,0,12.3447304392368,2.28582404917403,41.7933
203,4,5,10,0,7.14194045174538,NA,63.9216
209,4,5,10,0.0218488661191893,5.4451646859459,0.882092675944123,89.2499
217,4,5,10,0,9.66168615003484,2.68638228690872,27.9272
276,4,5,10,0,2.98692002342682,0,28.0738
277,4,5,10,0,11.7126848038885,0.864105852966988,41.623
281,4,5,10,0,11.1332403903605,0,29.7845
282,4,5,10,0,5.65328157224312,NA,53.3867
300,4,5,10,0,6.06206398845321,4.39419453131265,97.571
312,4,5,10,0,7.11953492076133,2.82710838576093,45.2354
345,4,5,10,0,5.58491119917804,1.51915455746367,54.988
352,4,5,10,0,5.03301540719002,1.95891415994131,62.9216
358,4,5,10,0.0539441795012118,8.91450655489809,2.21234792445553,42.6445
359,4,5,10,0,2.89119170984456,0,122.8704
364,4,5,10,0,7.88767662314434,0,75.5785
379,4,5,10,0,6.23603039785427,2.53315452242587,25.4999
382,4,5,10,0,4.42904958356036,1.50229625593524,34.6335
419,4,5,10,0,6.24284077892325,4.30371461299296,25.1273
422,4,5,10,0,3.90985995592521,1.15163147792706,17.2317
429,4,5,10,0,2.73570746350116,3.98417246554782,42.7508
