"inst","w","var","inc","feas","fixed_solved","fixed_time","flex_solved","flex_time"
419,4,5,20,FALSE,TRUE,0.113,TRUE,0.187
422,4,5,20,FALSE,TRUE,0.119,TRUE,0.254
429,4,5,20,FALSE,TRUE,0.121,TRUE,0.163
456,4,5,20,FALSE,TRUE,0.142,TRUE,0.254
46,4,5,20,FALSE,TRUE,0.129,TRUE,0.184
47,4,5,20,FALSE,TRUE,0.127,TRUE,0.297
49,4,5,20,FALSE,TRUE,0.149,TRUE,0.179
50,4,5,20,FALSE,TRUE,0.121,TRUE,0.195
502,4,5,20,FALSE,TRUE,0.174,TRUE,0.314
509,4,5,20,FALSE,TRUE,0.174,TRUE,0.229
51,4,5,20,FALSE,TRUE,0.13,TRUE,0.269
52,4,5,20,TRUE,TRUE,0.088,TRUE,0.238
56,4,5,20,TRUE,TRUE,0.102,TRUE,0.142
57,4,5,20,FALSE,TRUE,0.122,TRUE,0.162
59,4,5,20,TRUE,TRUE,0.107,TRUE,0.164
82,4,5,20,FALSE,TRUE,0.142,TRUE,0.267
116,5,2,10,TRUE,TRUE,5.232,FALSE,120.016
117,5,2,10,TRUE,TRUE,10.203,FALSE,120.017
118,5,2,10,TRUE,TRUE,7.148,TRUE,116.82
121,5,2,10,TRUE,TRUE,14.409,FALSE,120.017
123,5,2,10,TRUE,TRUE,5.301,FALSE,120.018
124,5,2,10,TRUE,TRUE,0.748,TRUE,15.164
125,5,2,10,TRUE,TRUE,5.469,TRUE,37.918
126,5,2,10,TRUE,TRUE,4.929,FALSE,120.015
128,5,2,10,TRUE,TRUE,5.161,FALSE,120.015
129,5,2,10,TRUE,TRUE,2.282,FALSE,120.015
133,5,2,10,TRUE,TRUE,3.046,FALSE,120.019
137,5,2,10,TRUE,TRUE,2.726,TRUE,60.4
138,5,2,10,TRUE,TRUE,2.322,FALSE,120.018
139,5,2,10,TRUE,TRUE,5.055,FALSE,120.014
140,5,2,10,TRUE,TRUE,3.725,FALSE,120.019
192,5,2,10,TRUE,TRUE,19.423,FALSE,120.014
193,5,2,10,TRUE,TRUE,4.515,FALSE,120.017
196,5,2,10,TRUE,TRUE,63.148,FALSE,120.013
199,5,2,10,TRUE,TRUE,10.658,FALSE,120.012
204,5,2,10,TRUE,TRUE,25.474,FALSE,120.018
206,5,2,10,TRUE,TRUE,19.227,FALSE,120.015
208,5,2,10,TRUE,TRUE,6.31,FALSE,120.014
210,5,2,10,TRUE,TRUE,10.086,FALSE,120.011
211,5,2,10,TRUE,TRUE,12.326,FALSE,120.018
212,5,2,10,TRUE,TRUE,17.328,FALSE,120.015
213,5,2,10,TRUE,TRUE,8.644,FALSE,120.019
214,5,2,10,TRUE,TRUE,28.466,FALSE,120.012
215,5,2,10,TRUE,TRUE,4.952,FALSE,120.016
266,5,2,10,TRUE,TRUE,5.272,TRUE,77.105
272,5,2,10,TRUE,TRUE,3.555,TRUE,20.575
