"inst","w","var","inc","fixed_evpir","fixed_vssr","flex_evpir","flex_vssr"
285,5,5,20,10.9592740628713,12.8173274278924,6.02553870710295,2.18903203739596
286,5,2,10,NA,NA,NA,NA
286,5,2,20,NA,NA,3.46914514211606,16.7945531179077
286,5,5,10,9.42559198018091,9.73670565189837,3.96456933414784,0
286,5,5,20,9.7836803340486,NA,9.04519674910835,0.7659474945916
287,5,2,10,5.60716284275322,2.75321768326805,3.47905699244678,0
287,5,2,20,NA,NA,19.434628975265,NA
287,5,5,10,10.9604655348251,7.62493250944867,3.96013976963893,3.41659117380613
287,5,5,20,25.6591436405822,NA,10.186659871313,10.5434159393515
288,6,2,10,6.88435569285105,0.430273609885259,3.67493722894295,2.23693220725885
288,6,2,20,8.45068272228812,NA,1.88959557552714,3.57184007374144
288,6,5,10,9.94596021611014,3.5486247544203,6.48985082238927,-0.988142292489987
288,6,5,20,14.0732119299701,4.71758214221755,6.9469937292512,0
289,5,2,10,4.65914664051005,0,2.9940119760479,0
289,5,2,20,3.55762673334848,2.31870879745398,2.08862220170783,3.87722132471729
289,5,5,10,21.0577306662107,NA,7.4991652754591,NA
289,5,5,20,NA,NA,NA,NA
290,5,2,10,0.993377483443709,0,0.993377483443709,0
290,5,2,20,9.42514970059881,NA,5.96792241700858,4.20241203531022
290,5,5,10,13.5537902580208,NA,2.87137618487511,2.14488341520792
290,5,5,20,19.557911677001,NA,10.0793650793651,0
300,4,2,10,6.16019348413715,NA,3.17087492660012,0.689958896065766
300,4,2,20,NA,NA,NA,NA
300,4,5,10,15.4761904761905,NA,6.06206398845321,4.39419453131265
300,4,5,20,NA,NA,NA,NA
312,4,2,10,6.75579576162708,0.654245484283886,2.80207561156412,0
312,4,2,20,NA,NA,NA,NA
312,4,5,10,13.8244421457071,3.2954041672824,7.11953492076133,2.82710838576093
312,4,5,20,NA,NA,NA,NA
341,6,2,10,10.252175953079,4.07038123167202,5.51985675475449,1.91405285255594
341,6,2,20,10.3065304309198,NA,8.68385345997286,-3.87833559475373
341,6,5,10,20.0777338423781,7.34251431688027,17.3622021711545,-3.89820950232595
341,6,5,20,23.6282923941994,NA,10.5387228731885,5.1584275116134
342,6,2,10,7.9867308353386,5.25953936060502,5.70692813527455,0.39924847346195
342,6,2,20,8.99698977872607,3.34718634168281,7.87949971574737,1.70551449687323
342,6,5,10,21.2515691158158,9.09713574097135,14.6050101282916,-6.83322079675867
342,6,5,20,20.211800302572,4.55673222390317,14.5606531881804,-7.91861067910848
343,6,2,10,8.53170189098979,-0.255839822024255,8.36862045910428,-3.78872297749074
343,6,2,20,NA,NA,NA,NA
343,6,5,10,19.2919415645616,1.36074458058436,14.1326146903985,-6.62446728503359
343,6,5,20,NA,NA,NA,NA
344,6,2,10,6.88666666666667,0.836083608361051,5.38786049631121,-2.03442879499196
344,6,2,20,10.5196507468965,0.315590153587209,7.7640208197788,-0.921708956842546
344,6,5,10,17.2134514936322,2.41798227595529,8.49766476388156,0.421639854696691
344,6,5,20,20.5044093085403,5.09408751809375,13.3292989377844,-1.32928679817906
345,4,2,10,9.95133196721311,0.512295081967213,3.34066538355788,1.51223535881221
345,4,2,20,18.1962563811685,NA,12.9001087087813,NA
345,4,5,10,18.8635216952573,NA,5.58491119917804,1.51915455746367
345,4,5,20,20.4717479317022,NA,18.7458785444518,NA
346,5,2,10,6.48391538365252,3.98047315058206,4.60929519918284,1.32788559754852
346,5,2,20,NA,NA,NA,NA
346,5,5,10,14.6875614713789,10.7140515376041,11.1634575993445,1.11975966134099
346,5,5,20,NA,NA,NA,NA
347,6,2,10,5.52302831734124,4.09548326702598,5.03408609738886,-1.30557515878617
347,6,2,20,4.85636114911081,7.10214318285431,2.4658174593902,0.969966109617626
347,6,5,10,17.6085573160563,0.647892744884078,13.0517059301381,-6.62063363119415
347,6,5,20,12.2850151020155,7.93318128582877,7.05419986936656,-0.960156760287392
348,5,2,10,6.46012621916236,4.16523235800344,2.73237083880205,-0.0119317503877846
348,5,2,20,9.71093044263776,NA,4.87746847489888,0
