"inst","w","var","inc","feas","fixed_rp","fixed_bev","fixed_wev","flex_rp","flex_bev","flex_wev"
217,4,5,20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
276,4,5,20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
277,4,5,20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
281,4,5,20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
282,4,5,20,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
300,4,5,20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
312,4,5,20,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
345,4,5,20,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
352,4,5,20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
358,4,5,20,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
359,4,5,20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
364,4,5,20,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
379,4,5,20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
382,4,5,20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
419,4,5,20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
422,4,5,20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
429,4,5,20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
456,4,5,20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
46,4,5,20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
47,4,5,20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
49,4,5,20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
50,4,5,20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
502,4,5,20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
509,4,5,20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
51,4,5,20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
52,4,5,20,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
56,4,5,20,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
57,4,5,20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
59,4,5,20,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
82,4,5,20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
116,5,2,10,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
117,5,2,10,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
118,5,2,10,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
121,5,2,10,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
123,5,2,10,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
124,5,2,10,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
125,5,2,10,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
126,5,2,10,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
128,5,2,10,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
129,5,2,10,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
133,5,2,10,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
137,5,2,10,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
138,5,2,10,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
139,5,2,10,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
140,5,2,10,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
192,5,2,10,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
193,5,2,10,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
196,5,2,10,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
199,5,2,10,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
204,5,2,10,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
206,5,2,10,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
208,5,2,10,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
210,5,2,10,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
211,5,2,10,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
212,5,2,10,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
213,5,2,10,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
214,5,2,10,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
215,5,2,10,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
266,5,2,10,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
272,5,2,10,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
273,5,2,10,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
275,5,2,10,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
280,5,2,10,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
283,5,2,10,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
