"inst","w","var","inc","rd","evpir","vssr","time"
49,4,5,10,0,12.5938183322499,2.81307251344483,1.486
50,4,5,10,0.0271292924966088,19.6191273086848,12.3276659932444,1.4077
52,4,5,10,5.78291814946619,19.6027689719868,NA,1.1134
56,4,5,10,0,12.6702997275204,12.1185286103542,1.9038
57,4,5,10,0,14.6920070090309,NA,1.9611
59,4,5,10,0,14.2475851550585,NA,1.7655
127,4,5,10,0,20.2476067084143,6.98913121715972,0.7153
144,4,5,10,0,18.7647405660377,NA,1.9807
164,4,5,10,0,11.8191022612217,NA,1.8055
191,4,5,10,0,20.5947136563877,NA,1.3766
197,4,5,10,0.0711020822752666,13.3357331118468,NA,1.9685
202,4,5,10,0,15.7227283920217,11.9921201674464,1.4932
203,4,5,10,0,10.8049802761341,NA,1.5444
209,4,5,10,0,20.2933519588545,NA,1.7294
217,4,5,10,0,11.0730071635421,11.743636640756,1.4668
276,4,5,10,0,7.03997006921494,9.06029806073455,1.4315
277,4,5,10,0,16.2793675180846,NA,1.7107
281,4,5,10,0,17.3907677116761,0,1.6983
282,4,5,10,0,18.5697083922308,NA,1.0905
300,4,5,10,0.00865800865800866,15.4835022244192,NA,1.4868
312,4,5,10,0,13.8244421457071,3.2954041672824,1.3716
345,4,5,10,0,18.8635216952573,NA,1.0307
352,4,5,10,0,11.3363929036235,NA,1.6388
358,4,5,10,0.501669864279116,17.5730027428527,NA,2.0473
359,4,5,10,0,16.8647977288857,NA,1.7649
364,4,5,10,0,16.4028893758623,NA,1.7054
379,4,5,10,0,12.942722744881,0,1.4433
382,4,5,10,0,13.60821840698,NA,1.5126
419,4,5,10,0,11.2530978934325,0,2.044
422,4,5,10,0,4.80315515177125,0.21128248468202,1.6813
429,4,5,10,0,4.82008144735964,10.4880165565125,1.6775
456,4,5,10,0,15.8528971028971,6.04395604395604,1.2654
509,4,5,10,0,33.6649659863946,NA,0.998
52,4,5,20,0,23.0085327286831,NA,1.9423
59,4,5,20,0.215228548637137,33.861880676048,NA,1.222
345,4,5,20,0,20.4717479317022,NA,1.8401
42,5,2,10,0.110644792064098,9.76528775358094,1.12182310030914,1.7195
43,5,2,10,0.471400163761846,6.99825187906256,3.28223680280872,1.5467
44,5,2,10,0.193902283454524,6.78746462857557,5.40999594864401,1.5524
48,5,2,10,0.484220120770191,6.02048942157451,NA,1.5213
53,5,2,10,0.108599570652862,5.24212914735897,2.30116248867395,1.6081
54,5,2,10,0.0259942812581247,7.90016784816655,3.46937971572372,1.6667
55,5,2,10,0.172957959853553,7.48176500462854,2.71401923610916,1.6972
58,5,2,10,0.0905594839349951,9.18757562457974,6.00773381779301,1.9553
62,5,2,10,0.0543995648034862,5.57289583253772,1.97094220012984,1.6011
63,5,2,10,0.239310009718171,8.88950132743905,1.9206296669643,1.6259
